,Zone1Power,Zone2Power,Zone3Power,Zone4Power,Total Power
0,38.2,14.3,0.0,46.8,99.3
1,38.2,14.3,0.0,46.8,99.3
2,38.2,14.3,0.0,46.8,99.3
3,38.2,14.3,0.0,46.8,99.3
4,38.2,14.3,0.0,46.8,99.3
5,38.2,14.3,0.0,46.8,99.3
6,38.2,14.3,0.0,46.8,99.3
7,38.2,14.3,0.0,46.8,99.3
8,38.2,14.3,0.0,46.8,99.3
9,38.2,14.3,0.0,46.8,99.3
10,38.2,14.3,0.0,46.8,99.3
11,38.2,14.3,0.0,46.8,99.3
12,38.2,14.3,0.0,46.8,99.3
13,38.2,14.3,0.0,46.8,99.3
14,38.2,14.3,0.0,46.8,99.3
15,38.2,14.3,0.0,46.8,99.3
16,38.2,14.3,0.0,46.8,99.3
17,38.2,14.3,0.0,46.8,99.3
18,38.2,14.3,0.0,46.8,99.3
19,38.2,14.3,0.0,46.8,99.3
20,38.2,14.3,0.0,46.8,99.3
21,38.2,14.3,0.0,46.8,99.3
22,38.2,14.3,0.0,46.8,99.3
23,38.2,14.3,0.0,46.8,99.3
24,38.2,14.3,0.0,46.8,99.3
25,38.2,14.3,0.0,46.8,99.3
26,38.2,14.3,0.0,46.8,99.3
27,38.2,14.3,0.0,46.8,99.3
28,38.2,14.3,0.0,46.8,99.3
29,38.2,14.6,0.0,46.8,99.6
30,38.2,14.6,0.0,46.8,99.6
31,38.2,14.6,0.0,46.8,99.6
32,38.2,14.6,0.0,46.8,99.6
33,38.2,14.6,0.0,46.8,99.6
34,38.2,14.6,0.0,46.8,99.6
35,38.2,14.6,0.0,46.8,99.6
36,38.2,14.6,0.0,46.8,99.6
37,38.2,14.6,0.0,46.8,99.6
38,38.2,14.6,0.0,46.8,99.6
39,38.2,14.6,0.0,45.2,98.0
40,38.2,14.6,0.0,45.2,98.0
41,38.2,14.6,0.0,45.2,98.0
42,38.2,14.6,0.0,45.2,98.0
43,38.2,14.6,0.0,45.2,98.0
44,38.2,14.6,0.0,45.2,98.0
45,38.2,14.6,0.0,45.2,98.0
46,38.2,14.6,0.0,45.2,98.0
47,38.2,14.6,0.0,45.2,98.0
48,38.2,14.6,0.0,45.2,98.0
49,38.2,14.6,0.0,45.2,98.0
50,38.2,14.6,0.0,45.2,98.0
51,38.2,14.6,0.0,45.2,98.0
52,38.2,14.6,0.0,45.2,98.0
53,38.2,14.6,0.0,45.2,98.0
54,38.2,14.6,0.0,45.2,98.0
55,38.2,14.6,0.0,45.2,98.0
56,38.2,14.6,0.0,45.2,98.0
57,38.2,14.6,0.0,45.2,98.0
58,38.2,14.6,0.0,45.2,98.0
59,38.2,14.6,0.0,45.2,98.0
60,38.2,14.6,0.0,45.2,98.0
61,38.2,14.6,0.0,45.2,98.0
